"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"04.01.2017 04:15 - 04.01.2017 04:30","55593","61603"
"04.01.2017 04:30 - 04.01.2017 04:45","56461","62745"
"04.01.2017 04:45 - 04.01.2017 05:00","57720","63770"
"04.01.2017 05:00 - 04.01.2017 05:15","59964","65294"
"04.01.2017 05:15 - 04.01.2017 05:30","61618","68072"
"04.01.2017 05:30 - 04.01.2017 05:45","63928","69481"
"04.01.2017 05:45 - 04.01.2017 06:00","65549","71200"
"04.01.2017 06:00 - 04.01.2017 06:15","67399","73597"
"04.01.2017 06:15 - 04.01.2017 06:30","69139","75236"
"04.01.2017 06:30 - 04.01.2017 06:45","69400","77338"
"04.01.2017 06:45 - 04.01.2017 07:00","71584","78008"
"04.01.2017 07:00 - 04.01.2017 07:15","71494","78740"
"04.01.2017 07:15 - 04.01.2017 07:30","73103","79503"
"04.01.2017 07:30 - 04.01.2017 07:45","73718","80052"
"04.01.2017 07:45 - 04.01.2017 08:00","73718","80536"
"04.01.2017 08:00 - 04.01.2017 08:15","73546","80337"
"04.01.2017 08:15 - 04.01.2017 08:30","74339","81548"
"04.01.2017 08:30 - 04.01.2017 08:45","74549","81635"
"04.01.2017 08:45 - 04.01.2017 09:00","74346","82274"
"04.01.2017 09:00 - 04.01.2017 09:15","74079","82111"
"04.01.2017 09:15 - 04.01.2017 09:30","75219","82602"
"04.01.2017 09:30 - 04.01.2017 09:45","74922","82584"
"04.01.2017 09:45 - 04.01.2017 10:00","75176","82511"
"04.01.2017 10:00 - 04.01.2017 10:15","75599","82777"
"04.01.2017 10:15 - 04.01.2017 10:30","75863","83179"
"04.01.2017 10:30 - 04.01.2017 10:45","76296","83451"
"04.01.2017 10:45 - 04.01.2017 11:00","75764","83529"
"04.01.2017 11:00 - 04.01.2017 11:15","75742","83652"
"04.01.2017 11:15 - 04.01.2017 11:30","76254","82967"
"04.01.2017 11:30 - 04.01.2017 11:45","75731","82551"
"04.01.2017 11:45 - 04.01.2017 12:00","75437","82639"
"04.01.2017 12:00 - 04.01.2017 12:15","76041","82237"
"04.01.2017 12:15 - 04.01.2017 12:30","75166","82312"
"04.01.2017 12:30 - 04.01.2017 12:45","75008","81609"
"04.01.2017 12:45 - 04.01.2017 13:00","74315","81007"
"04.01.2017 13:00 - 04.01.2017 13:15","73189","80402"
"04.01.2017 13:15 - 04.01.2017 13:30","72985","80189"
"04.01.2017 13:30 - 04.01.2017 13:45","72757","80118"
"04.01.2017 13:45 - 04.01.2017 14:00","73301","79591"
"04.01.2017 14:00 - 04.01.2017 14:15","73768","79719"
"04.01.2017 14:15 - 04.01.2017 14:30","73165","79209"
"04.01.2017 14:30 - 04.01.2017 14:45","72760","78919"
"04.01.2017 14:45 - 04.01.2017 15:00","73526","78864"
"04.01.2017 15:00 - 04.01.2017 15:15","73632","79367"
"04.01.2017 15:15 - 04.01.2017 15:30","74430","79744"
"04.01.2017 15:30 - 04.01.2017 15:45","75228","80419"
"04.01.2017 15:45 - 04.01.2017 16:00","75607","81437"
"04.01.2017 16:00 - 04.01.2017 16:15","77653","81618"
"04.01.2017 16:15 - 04.01.2017 16:30","77573","82189"
"04.01.2017 16:30 - 04.01.2017 16:45","78435","82084"
"04.01.2017 16:45 - 04.01.2017 17:00","78555","81496"
"04.01.2017 17:00 - 04.01.2017 17:15","78531","81615"
"04.01.2017 17:15 - 04.01.2017 17:30","78474","80815"
"04.01.2017 17:30 - 04.01.2017 17:45","78282","80297"
"04.01.2017 17:45 - 04.01.2017 18:00","78194","80090"
"04.01.2017 18:00 - 04.01.2017 18:15","77387","79559"
"04.01.2017 18:15 - 04.01.2017 18:30","76576","79114"
"04.01.2017 18:30 - 04.01.2017 18:45","75936","78242"
"04.01.2017 18:45 - 04.01.2017 19:00","75362","77882"
"04.01.2017 19:00 - 04.01.2017 19:15","72674","76762"
"04.01.2017 19:15 - 04.01.2017 19:30","71173","75171"
"04.01.2017 19:30 - 04.01.2017 19:45","70473","73666"
"04.01.2017 19:45 - 04.01.2017 20:00","69676","72453"
"04.01.2017 20:00 - 04.01.2017 20:15","68441","71389"
"04.01.2017 20:15 - 04.01.2017 20:30","67967","71037"
"04.01.2017 20:30 - 04.01.2017 20:45","67669","70190"
"04.01.2017 20:45 - 04.01.2017 21:00","66817","69994"
"04.01.2017 21:00 - 04.01.2017 21:15","67019","70375"
"04.01.2017 21:15 - 04.01.2017 21:30","66283","69536"
"04.01.2017 21:30 - 04.01.2017 21:45","64976","67951"
"04.01.2017 21:45 - 04.01.2017 22:00","63724","66481"
"04.01.2017 22:00 - 04.01.2017 22:15","61889","65397"
"04.01.2017 22:15 - 04.01.2017 22:30","60743","64434"
"04.01.2017 22:30 - 04.01.2017 22:45","59398","63315"
"04.01.2017 22:45 - 04.01.2017 23:00","58746","63243"
"04.01.2017 23:00 - 04.01.2017 23:15","58910","60860"
"04.01.2017 23:15 - 04.01.2017 23:30","58385","60234"
"04.01.2017 23:30 - 04.01.2017 23:45","57364","59390"
"04.01.2017 23:45 - 05.01.2017 00:00","56914","58524"
"05.01.2017 00:00 - 05.01.2017 00:15","56338","57728"
"05.01.2017 00:15 - 05.01.2017 00:30","55745","57079"
"05.01.2017 00:30 - 05.01.2017 00:45","55252","56667"
"05.01.2017 00:45 - 05.01.2017 01:00","54672","56230"
"05.01.2017 01:00 - 05.01.2017 01:15","54565","55779"
"05.01.2017 01:15 - 05.01.2017 01:30","54333","55644"
"05.01.2017 01:30 - 05.01.2017 01:45","54764","55628"
"05.01.2017 01:45 - 05.01.2017 02:00","54210","55587"
"05.01.2017 02:00 - 05.01.2017 02:15","54375","55335"
"05.01.2017 02:15 - 05.01.2017 02:30","54166","55533"
"05.01.2017 02:30 - 05.01.2017 02:45","54174","55327"
"05.01.2017 02:45 - 05.01.2017 03:00","54684","55299"
"05.01.2017 03:00 - 05.01.2017 03:15","54912","55713"
"05.01.2017 03:15 - 05.01.2017 03:30","55656","56039"
"05.01.2017 03:30 - 05.01.2017 03:45","55451","56179"
"05.01.2017 03:45 - 05.01.2017 04:00","56146","56914"
"05.01.2017 04:00 - 05.01.2017 04:15","57196","57795"
"05.01.2017 04:15 - 05.01.2017 04:30","57426","58658"
"05.01.2017 04:30 - 05.01.2017 04:45","58223","59682"
"05.01.2017 04:45 - 05.01.2017 05:00","59413","60579"
"05.01.2017 05:00 - 05.01.2017 05:15","61896","62091"
"05.01.2017 05:15 - 05.01.2017 05:30","63238","64480"
"05.01.2017 05:30 - 05.01.2017 05:45","65540","66499"
"05.01.2017 05:45 - 05.01.2017 06:00","66586","68297"
"05.01.2017 06:00 - 05.01.2017 06:15","69060","70259"
"05.01.2017 06:15 - 05.01.2017 06:30","69793","71507"
"05.01.2017 06:30 - 05.01.2017 06:45","72563","73140"
"05.01.2017 06:45 - 05.01.2017 07:00","73366","74287"
"05.01.2017 07:00 - 05.01.2017 07:15","74761","75230"
"05.01.2017 07:15 - 05.01.2017 07:30","74848","75659"
"05.01.2017 07:30 - 05.01.2017 07:45","75023","76016"
"05.01.2017 07:45 - 05.01.2017 08:00","75384","76303"
"05.01.2017 08:00 - 05.01.2017 08:15","75791","76532"
"05.01.2017 08:15 - 05.01.2017 08:30","75825","77199"
"05.01.2017 08:30 - 05.01.2017 08:45","76584","77430"
"05.01.2017 08:45 - 05.01.2017 09:00","76856","77308"
"05.01.2017 09:00 - 05.01.2017 09:15","77059","77646"
